lookback,trailing_stop_pct,stop_loss_pct,final_value
25,0.01,0.02,-17759.729999999516
20,0.02,0.005,25716.46000000555
20,0.02,0.005,25716.46000000555
25,0.01,0.015,-17759.729999999516
30,0.01,0.02,-47054.179999995045
25,0.03,0.005,-3350.0300000114366
10,0.03,0.01,45134.480000027455
10,0.04,0.005,78088.51000002678
10,0.03,0.01,45134.480000027455
30,0.02,0.02,-56126.270000007935
10,0.02,0.005,37266.75000002608
25,0.04,0.015,1055.9299999894574
10,0.04,0.01,70750.7100000279
15,0.04,0.005,-7031.540000014938
20,0.04,0.015,42767.69000000507
10,0.04,0.015,69490.35000002943
15,0.04,0.015,-13324.100000019185
15,0.03,0.005,-9363.840000010096
20,0.03,0.015,44488.99000000954
10,0.04,0.015,69490.35000002943
20,0.04,0.02,39609.53000000492
15,0.01,0.01,-48705.11000001151
10,0.01,0.005,28767.3700000206
15,0.04,0.02,-19072.93000001926
20,0.01,0.005,21046.040000007488
10,0.04,0.02,71842.79000002891
15,0.04,0.015,-13324.100000019185
30,0.01,0.015,-47054.179999995045
30,0.04,0.02,-35136.69000000972
25,0.03,0.01,-12665.540000014007
