lookback,trailing_stop_pct,stop_loss_pct,final_value
25,0.01,0.02,379.0400000028312
20,0.02,0.005,-20001.60000000056
20,0.02,0.005,-20001.60000000056
25,0.01,0.015,379.0400000028312
30,0.01,0.02,-5855.889999995008
25,0.03,0.005,-909.9299999913201
10,0.03,0.01,9561.930000003427
10,0.04,0.005,-12128.259999996983
10,0.03,0.01,9561.930000003427
30,0.02,0.02,-2144.849999994971
20,0.03,0.01,-17766.709999999963
10,0.02,0.02,13049.469999997877
20,0.04,0.015,-33565.57000000309
10,0.02,0.015,7989.439999997616
10,0.03,0.02,6839.4000000059605
10,0.02,0.01,7450.379999998957
15,0.02,0.01,-5202.789999992587
10,0.04,0.02,-15132.429999999702
25,0.04,0.02,-13791.69999999553
20,0.01,0.02,-11944.590000005439
25,0.04,0.02,-13791.69999999553
25,0.02,0.01,312.7599999997765
20,0.03,0.01,-17766.709999999963
15,0.04,0.01,-25695.19000000134
20,0.02,0.015,-17086.23000000138
10,0.02,0.015,7989.439999997616
30,0.03,0.01,-3870.459999992512
30,0.04,0.015,-13553.199999994598
10,0.03,0.015,1672.520000002347
10,0.02,0.005,1123.2200000016019
