lookback,trailing_stop_pct,stop_loss_pct,final_value
25,0.01,0.02,-16390.580000000075
20,0.02,0.005,822.739999989979
20,0.02,0.005,822.739999989979
25,0.01,0.015,-16390.580000000075
30,0.01,0.02,-34042.85999999568
25,0.03,0.005,-16035.090000002645
10,0.03,0.01,-10297.669999998994
10,0.04,0.005,-15870.069999995641
10,0.03,0.01,-10297.669999998994
30,0.02,0.02,-32769.98000000138
20,0.04,0.005,-5872.7900000037625
20,0.02,0.015,6718.849999992177
20,0.02,0.01,1059.4399999883026
15,0.02,0.005,-10422.710000010207
20,0.01,0.015,6355.439999995753
20,0.03,0.015,8164.949999994598
15,0.04,0.015,-19705.240000006743
15,0.03,0.005,-13539.410000009462
20,0.03,0.015,8164.949999994598
10,0.04,0.015,-16547.51000000257
20,0.04,0.02,-7355.340000007302
15,0.01,0.01,-25639.29000000097
30,0.04,0.01,-40668.07999999635
15,0.04,0.02,-17158.450000005774
30,0.01,0.02,-34042.85999999568
25,0.04,0.005,-23924.57000000123
30,0.03,0.005,-38237.449999991804
30,0.03,0.015,-29524.989999995567
15,0.04,0.005,-24426.8700000057
10,0.02,0.02,1450.630000013858
