long_trailing_stop_pct,short_trailing_stop_pct,long_stop_loss_pct,short_stop_loss_pct,final_value
0.04,0.01,0.02,0.015,5420.420000004582
0.03,0.01,0.01,0.01,15500.800000005402
0.01,0.04,0.005,0.015,14536.380000009201
0.05,0.01,0.02,0.015,8068.220000004396
0.04,0.01,0.005,0.015,25168.100000006147
0.02,0.01,0.02,0.005,-10039.8799999943
0.01,0.04,0.01,0.02,2755.380000005476
0.03,0.05,0.015,0.01,18304.350000005215
0.01,0.05,0.015,0.01,7269.570000006817
0.01,0.02,0.005,0.015,9344.85000000801
0.02,0.01,0.005,0.015,7937.94000000786
0.05,0.05,0.005,0.01,33986.670000006445
0.05,0.05,0.005,0.005,28082.240000006743
0.05,0.02,0.005,0.01,32220.83000000473
0.05,0.03,0.005,0.01,36551.95000000764
0.05,0.03,0.005,0.02,38921.480000006966
0.05,0.04,0.005,0.02,33145.35000000615
0.03,0.03,0.005,0.02,36687.140000007115
0.04,0.02,0.02,0.02,8431.48000000231
0.02,0.03,0.01,0.005,-2856.4499999918044
0.05,0.01,0.02,0.02,8068.220000004396
0.01,0.05,0.02,0.015,8066.8600000068545
0.04,0.03,0.005,0.01,39699.670000007376
0.04,0.03,0.005,0.02,35667.52000000607
0.03,0.03,0.005,0.01,28946.780000008643
0.02,0.03,0.005,0.01,17006.180000008084
0.03,0.02,0.005,0.02,26676.93000000529
0.05,0.03,0.005,0.015,34416.23000000883
0.02,0.03,0.005,0.01,17006.180000008084
0.01,0.01,0.005,0.005,5818.010000010021
