long_trailing_stop_pct,long_stop_loss_pct,final_value
0.04,0.005,6659.8100000005215
0.04,0.015,3407.1499999966472
0.03,0.005,13632.170000004582
0.03,0.01,11066.810000003316
0.01,0.015,11129.590000001714
0.01,0.015,11129.590000001714
0.05,0.005,23298.94000000134
0.05,0.015,18747.819999998435
0.04,0.005,6659.8100000005215
0.01,0.015,11129.590000001714
0.05,0.02,20468.929999996908
0.02,0.005,13635.380000003614
0.01,0.01,11129.590000001714
0.04,0.005,6659.8100000005215
0.02,0.005,13635.380000003614
0.03,0.01,11066.810000003316
0.02,0.015,13965.980000004172
0.02,0.01,13226.090000004508
0.01,0.015,11129.590000001714
0.05,0.005,23298.94000000134
0.03,0.015,8752.76000000164
0.01,0.02,11129.590000001714
0.02,0.02,16600.220000001602
0.02,0.01,13226.090000004508
0.05,0.02,20468.929999996908
0.01,0.015,11129.590000001714
0.03,0.02,14817.299999999814
0.03,0.02,14817.299999999814
0.03,0.015,8752.76000000164
0.03,0.005,13632.170000004582
