short_trailing_stop_pct,short_stop_loss_pct,final_value
0.04,0.005,-5251.9700000034645
0.04,0.015,-6123.45000000298
0.03,0.005,-1986.1700000055134
0.03,0.01,6515.669999994338
0.01,0.015,4998.590000001714
0.01,0.015,4998.590000001714
0.05,0.005,-6914.480000001378
0.05,0.015,-3284.6599999992177
0.04,0.005,-5251.9700000034645
0.01,0.015,4998.590000001714
0.05,0.01,2798.129999998957
0.02,0.01,316.68999999575317
0.01,0.005,-249.02999999932945
0.01,0.02,4998.590000001714
0.01,0.01,4998.590000001714
0.01,0.01,4998.590000001714
0.04,0.01,1983.1399999959394
0.03,0.02,-3703.270000006072
0.05,0.01,2798.129999998957
0.04,0.02,-14234.500000003725
0.03,0.015,2491.189999994822
0.02,0.015,-3518.120000003837
0.05,0.02,-7464.090000001714
0.03,0.02,-3703.270000006072
0.01,0.01,4998.590000001714
0.01,0.01,4998.590000001714
0.04,0.02,-14234.500000003725
0.01,0.02,4998.590000001714
0.01,0.02,4998.590000001714
0.05,0.015,-3284.6599999992177
