long_trailing_stop_pct,short_trailing_stop_pct,long_stop_loss_pct,short_stop_loss_pct,ssma_period,final_value
0.04,0.01,0.02,0.015,30,10801.150000007823
0.01,0.03,0.01,0.005,40,12992.100000000559
0.01,0.04,0.02,0.005,50,8601.38999999594
0.04,0.04,0.005,0.005,30,7756.460000009276
0.02,0.01,0.02,0.005,10,16836.20000000391
0.04,0.02,0.02,0.01,50,31306.409999997355
0.04,0.03,0.005,0.02,30,615.9100000066683
0.02,0.01,0.005,0.005,40,15482.630000005476
0.04,0.05,0.005,0.01,10,18882.35000000149
0.04,0.03,0.005,0.015,10,17529.090000003576
0.04,0.02,0.005,0.01,40,29651.75000000093
0.02,0.02,0.01,0.01,50,32630.63000000082
0.05,0.02,0.01,0.01,50,44604.89999999944
0.05,0.02,0.015,0.01,50,33664.81999999937
0.05,0.02,0.01,0.01,30,23167.770000006072
0.05,0.02,0.01,0.01,20,3817.3900000071153
0.03,0.02,0.01,0.01,50,37432.599999997765
0.05,0.02,0.01,0.005,50,41266.01000000071
0.05,0.02,0.01,0.02,50,31347.98999999836
0.03,0.05,0.02,0.02,20,-15621.699999987148
0.05,0.03,0.01,0.01,50,30569.839999996126
0.01,0.02,0.005,0.01,30,-14330.139999994077
0.04,0.04,0.005,0.02,40,18231.720000001602
0.01,0.04,0.005,0.02,20,-42316.23999999091
0.05,0.02,0.01,0.01,40,31332.680000002496
0.05,0.02,0.01,0.01,10,44343.890000007115
0.02,0.01,0.015,0.01,50,10936.510000000708
0.05,0.02,0.005,0.01,50,48134.70999999996
0.01,0.03,0.005,0.01,10,23545.510000005364
0.03,0.04,0.005,0.02,30,6999.67000001017
