trailing_stop_pct,stop_loss_pct,ssma_period,final_value
0.04,0.005,40,10624.430000000633
0.03,0.01,10,14109.140000002459
0.03,0.01,10,14109.140000002459
0.04,0.005,40,10624.430000000633
0.05,0.005,50,23294.430000000633
0.04,0.015,10,8264.53000000026
0.01,0.015,20,-24980.289999991655
0.01,0.02,20,-24980.289999991655
0.01,0.015,20,-24980.289999991655
0.05,0.01,50,17646.12000000011
0.05,0.005,30,-6806.4199999962
0.01,0.01,50,2120.75999999512
0.05,0.01,20,-20699.799999993294
0.05,0.005,40,11202.520000001416
0.02,0.005,50,26088.51000000257
0.03,0.005,50,23224.35000000149
0.01,0.02,10,2783.4799999995157
0.04,0.01,10,-2828.1299999998882
0.02,0.015,50,18630.74000000488
0.04,0.01,30,2027.4999999981374
0.04,0.005,20,-17082.109999993816
0.01,0.015,30,-6018.660000000149
0.03,0.005,10,12177.810000001453
0.04,0.005,50,22406.520000000484
0.03,0.01,50,20035.510000000708
0.03,0.015,20,5987.070000005886
0.03,0.005,40,15489.470000001602
0.03,0.01,30,3978.6899999966845
0.02,0.02,50,20053.55000000447
0.03,0.02,50,15345.780000005849
