limbars,limbars2,spread,trailing_stop_pct,final_value
35,15,0.004,0.03,12192.669999999991
25,10,0.003,0.02,18309.520000000015
15,30,0.001,0.04,27790.169999999995
40,10,0.005,0.04,-4147.010000000013
30,10,0.001,0.03,-3455.359999999997
20,10,0.005,0.02,12839.999999999989
10,30,0.002,0.05,24423.599999999944
25,40,0.004,0.03,10646.369999999995
10,40,0.003,0.02,27715.220000000016
10,15,0.002,0.04,18501.56999999995
35,30,0.003,0.02,25819.880000000016
15,30,0.004,0.04,1333.330000000009
15,10,0.001,0.05,2687.3299999999945
15,30,0.001,0.05,26884.79999999999
15,40,0.003,0.02,27006.420000000024
20,30,0.001,0.04,28447.029999999995
10,30,0.001,0.04,28853.309999999994
10,30,0.001,0.01,11994.650000000009
30,40,0.005,0.03,21082.969999999965
40,30,0.001,0.04,28600.489999999994
10,30,0.001,0.02,18075.190000000006
30,35,0.003,0.02,25819.880000000016
10,25,0.003,0.02,27715.230000000014
10,20,0.003,0.02,27558.580000000016
10,30,0.001,0.03,9556.130000000001
10,25,0.002,0.02,23193.489999999943
10,25,0.003,0.05,22469.750000000004
30,30,0.005,0.03,21082.969999999965
10,15,0.001,0.04,29054.329999999994
35,35,0.002,0.03,7767.369999999941
