datetime,S1,S2,S3,S4,S5,combined
2021-01-13 16:00:00,-279.5400000000009,-279.5400000000009,-279.5400000000009,-279.5400000000009,-279.5400000000009,-1397.7000000000044
2021-01-17 04:00:00,-475.0899999999965,-475.0899999999965,-475.0899999999965,-475.0899999999965,-475.0899999999965,-2375.4499999999825
2021-01-21 12:00:00,-2909.8600000000006,-2909.8600000000006,-2909.8600000000006,-2909.8600000000006,-2909.8600000000006,-14549.300000000003
2021-01-22 00:00:00,-4507.73,-4507.73,-4507.73,-4507.73,-4507.73,-22538.649999999998
2021-01-30 20:00:00,-4541.9699999999975,-4576.210000000003,-4610.450000000001,-4559.09,-4593.329999999998,-22881.05
2021-01-31 16:00:00,-5267.060000000001,-5301.300000000007,-5335.5400000000045,-5284.180000000004,-5318.420000000002,-26506.50000000002
2021-02-23 16:00:00,-7513.099999999995,-7547.34,-7581.579999999998,-7530.2199999999975,-7564.4599999999955,-37736.69999999998
2021-02-24 00:00:00,-10892.559999999994,-10926.8,-10961.039999999997,-10909.679999999997,-10943.919999999995,-54633.99999999998
2021-02-26 04:00:00,-11149.639999999989,-11183.879999999994,-11218.119999999992,-11166.759999999991,-11200.999999999989,-55919.39999999995
2021-03-05 16:00:00,-11197.129999999986,-11278.869999999992,-11360.599999999988,-11237.999999999989,-11319.729999999985,-56394.329999999936
2021-03-06 00:00:00,-11722.869999999984,-11804.60999999999,-11886.339999999986,-11763.739999999987,-11845.469999999983,-59023.029999999926
2021-03-07 16:00:00,-11849.55999999998,-11931.299999999985,-12038.579999999984,-11890.429999999982,-11972.329999999976,-59682.1999999999
2021-03-08 00:00:00,-11899.119999999977,-12031.27999999998,-11460.759999999984,-11965.199999999979,-12097.519999999979,-59453.879999999896
2021-03-22 04:00:00,-12098.239999999972,-12230.399999999976,-11659.87999999998,-12164.319999999974,-12296.639999999974,-60449.47999999987
2021-03-23 00:00:00,-10656.379999999972,-10788.539999999975,-10218.019999999979,-10722.459999999974,-10854.779999999973,-53240.17999999987
2021-03-27 20:00:00,-9848.75999999997,-9980.919999999973,-9410.399999999976,-9914.839999999971,-10047.15999999997,-49202.079999999856
2021-03-31 04:00:00,-9947.019999999971,-10098.509999999977,-9586.77999999998,-10013.099999999973,-10194.149999999976,-49839.559999999874
2021-04-08 16:00:00,-11252.089999999971,-11403.579999999976,-10891.84999999998,-11318.169999999973,-11499.219999999976,-56364.90999999987
2021-04-09 12:00:00,-11732.099999999973,-11883.589999999978,-11371.859999999982,-11798.179999999975,-11979.229999999978,-58764.95999999988
2021-04-10 08:00:00,-10403.449999999972,-10554.939999999977,-10043.209999999981,-10469.529999999973,-10650.579999999976,-52121.709999999875
2021-04-18 08:00:00,-11770.93999999997,-11922.429999999975,-11410.699999999979,-11837.019999999971,-12018.069999999974,-58959.159999999865
2021-04-28 16:00:00,-12271.43999999997,-12422.929999999975,-11911.199999999979,-12337.519999999971,-12518.569999999974,-61461.659999999865
2021-04-30 20:00:00,-12350.36999999997,-12537.209999999981,-12082.609999999982,-12423.229999999978,-12661.41999999998,-62054.83999999989
2021-05-11 00:00:00,-12406.199999999972,-12648.869999999984,-12250.089999999986,-12506.969999999976,-12800.98999999998,-62613.11999999989
2021-05-12 08:00:00,-13042.559999999972,-13285.229999999985,-12886.449999999986,-13143.329999999976,-13437.34999999998,-65794.9199999999
2021-05-12 16:00:00,-12111.149999999976,-12353.819999999989,-11955.03999999999,-12211.91999999998,-12505.939999999984,-61137.869999999915
2021-05-31 20:00:00,-12196.429999999982,-12439.099999999995,-12065.869999999992,-12297.199999999986,-12598.299999999985,-61596.899999999936
2021-06-01 08:00:00,-12304.639999999981,-12547.309999999994,-12175.999999999989,-12405.409999999985,-12706.509999999984,-62139.86999999993
2021-06-01 16:00:00,-11964.259999999977,-12206.92999999999,-11835.619999999984,-12065.02999999998,-12366.12999999998,-60437.96999999991
2021-06-02 12:00:00,-12001.479999999978,-12281.369999999992,-11947.269999999986,-12120.859999999982,-12459.179999999982,-60810.159999999916
2021-06-04 00:00:00,-12636.829999999976,-12916.71999999999,-12582.619999999984,-12756.209999999981,-13094.52999999998,-63986.90999999991
2021-06-04 08:00:00,-11322.569999999974,-11602.459999999988,-11268.359999999982,-11441.949999999979,-11780.269999999979,-57415.6099999999
